V\-(GS) - Plot 0	I\-(DS) - Plot 0	V\-(GS) - Plot 1	I\-(DS) - Plot 1	
8.04424E-5	1.31276E-8	8.04424E-5	-2.07543E-11	
-0.999971	8.04204E-9	-0.999971	-3.93677E-10	
-2	5.42024E-9	-2	-3.99268E-10	
-2.99954	3.34125E-9	-2.99954	-4.30799E-10	
-3.9997	2.18633E-9	-3.9997	-3.3071E-10	
-4.99949	1.68327E-9	-4.99949	-4.55689E-10	
-5.99957	1.31348E-9	-5.99957	-5.26404E-10	
-6.99942	1.80031E-9	-6.99942	-5.37813E-10	
-7.99964	1.81289E-9	-7.99964	-6.30021E-10	
-8.99943	2.66358E-9	-8.99943	-7.38752E-10	
-9.99965	4.4772E-9	-9.99965	-8.92568E-10	
-10.9998	6.56954E-9	-10.9998	-1.04426E-9	
-11.9997	8.6259E-9	-11.9997	-1.41609E-9	
-12.9999	1.22167E-8	-12.9999	-1.64092E-9	
-13.9997	1.60239E-8	-13.9997	-1.97518E-9	
-14.9999	2.08014E-8	-14.9999	-2.37366E-9	
-15.9997	2.60752E-8	-15.9997	-2.58898E-9	
-16.9998	3.24625E-8	-16.9998	-2.87764E-9	
-17.9997	3.96864E-8	-17.9997	-3.14262E-9	
-18.9998	4.76752E-8	-18.9998	-3.16143E-9	
-19.9996	5.64224E-8	-19.9996	-3.3619E-9	
-20.9984	6.65134E-8	-20.9984	-3.68316E-9	
-21.9989	7.76968E-8	-21.9989	-3.95607E-9	
-23	8.97982E-8	-23	-4.41164E-9	
-24.0004	1.0526E-7	-24.0004	-2.04315E-9	
-24.9975	1.15812E-7	-24.9975	-6.01895E-9	
-25.9979	1.30054E-7	-25.9979	-6.8316E-9	
-26.9982	1.4374E-7	-26.9982	-7.73035E-9	
-27.9988	1.61149E-7	-27.9988	-8.76927E-9	
-28.9994	1.77311E-7	-28.9994	-9.8984E-9	
-30.0001	1.94333E-7	-30.0001	-1.12191E-8	
-30.9976	2.12047E-7	-30.9976	-1.25474E-8	
-31.9977	2.30296E-7	-31.9977	-1.41541E-8	
-32.9975	2.49501E-7	-32.9975	-1.58925E-8	
-33.9991	2.68406E-7	-33.9991	-1.77318E-8	
-34.9996	2.86607E-7	-34.9996	-1.94817E-8	
-36.0006	3.07046E-7	-36.0006	-2.18274E-8	
-36.9977	3.29057E-7	-36.9977	-2.40493E-8	
-37.998	3.51195E-7	-37.998	-2.67083E-8	
-38.9985	3.71998E-7	-38.9985	-2.95653E-8	
-39.9991	3.9437E-7	-39.9991	-3.23934E-8	
-40.9991	4.1717E-7	-40.9991	-3.54306E-8	
-41.9998	4.40556E-7	-41.9998	-3.86881E-8	
-42.997	4.64192E-7	-42.997	-4.21476E-8	
-43.9979	4.8894E-7	-43.9979	-4.57974E-8	
-44.9983	5.14208E-7	-44.9983	-4.95807E-8	
-45.9989	5.38241E-7	-45.9989	-5.37908E-8	
-46.9994	5.64276E-7	-46.9994	-5.80853E-8	
-47.9998	5.89993E-7	-47.9998	-6.26539E-8	
-48.9976	6.1568E-7	-48.9976	-6.74207E-8	
-49.9977	6.43191E-7	-49.9977	-7.24006E-8	
-49.9976	6.40984E-7	-49.9976	-7.19356E-8	
-48.9971	6.14756E-7	-48.9971	-6.62124E-8	
-47.9993	5.86801E-7	-47.9993	-6.11785E-8	
-46.9995	5.59539E-7	-46.9995	-5.63593E-8	
-45.9989	5.31396E-7	-45.9989	-5.20887E-8	
-44.9985	5.0633E-7	-44.9985	-4.76353E-8	
-43.9982	4.80903E-7	-43.9982	-4.3625E-8	
-42.9973	4.54835E-7	-42.9973	-4.00082E-8	
-42.0001	4.31791E-7	-42.0001	-3.62121E-8	
-40.9995	4.07141E-7	-40.9995	-3.2936E-8	
-39.999	3.84757E-7	-39.999	-2.96626E-8	
-38.9983	3.61768E-7	-38.9983	-2.6872E-8	
-37.9983	3.40179E-7	-37.9983	-2.40169E-8	
-36.9976	3.15396E-7	-36.9976	-2.18171E-8	
-36.0005	2.96911E-7	-36.0005	-1.89508E-8	
-34.9998	2.77465E-7	-34.9998	-1.68844E-8	
-33.9988	2.56791E-7	-33.9988	-1.47217E-8	
-32.9985	2.38023E-7	-32.9985	-1.27597E-8	
-31.9982	2.18418E-7	-31.9982	-1.10943E-8	
-30.9913	1.99885E-7	-30.9913	-9.34505E-9	
-29.9904	1.81048E-7	-29.9904	-7.84395E-9	
-28.9875	1.64871E-7	-28.9875	-6.20413E-9	
-27.9989	1.49083E-7	-27.9989	-5.30139E-9	
-26.9985	1.33299E-7	-26.9985	-3.6162E-9	
-25.9985	1.18246E-7	-25.9985	-2.27776E-9	
-24.9975	1.04282E-7	-24.9975	-1.23556E-9	
-24.0007	8.94692E-8	-24.0007	-2.77801E-9	
-23.0002	7.77428E-8	-23.0002	-6.10495E-10	
-21.9992	6.65962E-8	-21.9992	-3.75307E-10	
-20.9989	5.60992E-8	-20.9989	-2.33293E-10	
-19.9995	4.72469E-8	-19.9995	-6.54936E-11	
-18.9996	3.76051E-8	-18.9996	7.38144E-11	
-17.9994	3.16302E-8	-17.9994	3.05426E-10	
-16.9996	2.5374E-8	-16.9996	4.11475E-10	
-15.9994	1.95113E-8	-15.9994	5.2743E-10	
-14.9998	1.54053E-8	-14.9998	5.60379E-10	
-13.9996	1.12193E-8	-13.9996	5.27549E-10	
-12.9999	8.49566E-9	-12.9999	5.41699E-10	
-11.9996	3.91713E-9	-11.9996	4.3577E-10	
-10.9998	4.7447E-9	-10.9998	5.26369E-10	
-9.99963	3.35295E-9	-9.99963	4.54092E-10	
-8.99946	2.94981E-9	-8.99946	4.18711E-10	
-7.99971	2.14599E-9	-7.99971	3.56042E-10	
-6.99943	2.02304E-9	-6.99943	3.89063E-10	
-5.99955	2.54314E-9	-5.99955	3.61538E-10	
-4.99949	2.8229E-9	-4.99949	3.69155E-10	
-3.99962	3.6626E-9	-3.99962	3.92139E-10	
-2.99953	5.50746E-9	-2.99953	4.2423E-10	
-2	8.31786E-9	-2	5.10597E-10	
-0.999963	1.27253E-8	-0.999963	7.31981E-10	
8.35657E-5	1.84595E-8	8.35657E-5	9.0946E-10	
8.23021E-5	1.77521E-8	8.23021E-5	4.60637E-10	
1.00008	2.87498E-8	1.00008	1.21785E-9	
2.00006	4.6126E-8	2.00006	1.95351E-9	
3.00032	7.29217E-8	3.00032	3.21313E-9	
4.00044	1.15641E-7	4.00044	5.30355E-9	
5.00031	1.68175E-7	5.00031	6.39737E-9	
6.00034	2.36111E-7	6.00034	9.18684E-9	
7.00049	3.19835E-7	7.00049	1.23904E-8	
8.00041	4.12115E-7	8.00041	1.5148E-8	
9.00049	5.1126E-7	9.00049	1.71449E-8	
10.0003	6.11647E-7	10.0003	2.01016E-8	
11.0004	7.10859E-7	11.0004	2.44645E-8	
12.0006	8.05537E-7	12.0006	2.91469E-8	
13.0004	8.93281E-7	13.0004	3.4181E-8	
14.0005	9.75731E-7	14.0005	4.03635E-8	
15.0004	1.05037E-6	15.0004	4.65794E-8	
16.0005	1.1197E-6	16.0005	5.33976E-8	
17.0006	1.18362E-6	17.0006	6.02837E-8	
18.0005	1.24374E-6	18.0005	6.76782E-8	
19.0007	1.30116E-6	19.0007	7.59356E-8	
20.0005	1.35785E-6	20.0005	8.46929E-8	
21.004	1.41482E-6	21.004	9.48406E-8	
22.0052	1.47376E-6	22.0052	1.02826E-7	
23.006	1.53395E-6	23.006	1.14017E-7	
24.0032	1.59848E-6	24.0032	1.24858E-7	
25.0036	1.66882E-6	25.0036	1.36782E-7	
26.0039	1.74262E-6	26.0039	1.49169E-7	
27.0041	1.82188E-6	27.0041	1.62683E-7	
28.0045	1.90604E-6	28.0045	1.77182E-7	
29.0054	1.99916E-6	29.0054	1.91761E-7	
30.0024	2.0884E-6	30.0024	2.0813E-7	
31.0028	2.18569E-6	31.0028	2.24456E-7	
32.0035	2.28696E-6	32.0035	2.42819E-7	
33.0032	2.39306E-6	33.0032	2.61396E-7	
34.0038	2.50354E-6	34.0038	2.77684E-7	
35.0049	2.61489E-6	35.0049	2.98385E-7	
36.0021	2.72762E-6	36.0021	3.20552E-7	
37.0024	2.84239E-6	37.0024	3.43572E-7	
38.003	2.95883E-6	38.003	3.69519E-7	
39.0034	3.07549E-6	39.0034	3.95571E-7	
40.0036	3.19022E-6	40.0036	4.26063E-7	
41.0041	3.30548E-6	41.0041	4.57348E-7	
42.0021	3.4212E-6	42.0021	4.88415E-7	
43.0027	3.53705E-6	43.0027	5.22649E-7	
44.0025	3.64872E-6	44.0025	5.57749E-7	
45.0032	3.76457E-6	45.0032	5.93081E-7	
46.0032	3.87928E-6	46.0032	6.21588E-7	
47.0035	3.99168E-6	47.0035	6.5978E-7	
48.0008	4.10273E-6	48.0008	6.95932E-7	
49.0017	4.21411E-6	49.0017	7.35426E-7	
50.0026	4.32154E-6	50.0026	7.7862E-7	
50.0022	4.30946E-6	50.0022	7.85004E-7	
49.0014	4.19206E-6	49.0014	7.45352E-7	
48.0009	4.07318E-6	48.0009	7.03149E-7	
47.0034	3.95634E-6	47.0034	6.60673E-7	
46.0028	3.83811E-6	46.0028	6.24005E-7	
45.0029	3.71951E-6	45.0029	5.88862E-7	
44.0021	3.6014E-6	44.0021	5.51585E-7	
